dataset;x;y
4;74.35900116;22.94869995
4;71.28209686;22.94869995
4;67.94869995;22.17950058
4;65.8973999;20.25639915
4;63.07690048;19.1026001
4;61.28210068;19.1026001
4;58.71789932;18.33329964
4;55.12820053;18.33329964
4;52.30770111;18.33329964
4;49.74359894;17.56410027
4;47.43590164;16.02560043
4;44.87179947;13.71800041
4;48.71789932;14.87180042
4;51.28210068;14.87180042
4;54.1026001;14.87180042
4;56.15380096;14.1026001
4;52.05130005;12.56410027
4;48.71789932;11.02560043
4;47.17950058;9.871800423
4;46.15380096;6.025599957
4;50.51279831;9.487199783
4;53.84619904;10.25640011
4;57.43590164;10.25640011
4;60;10.64099979
4;64.1026001;10.64099979
4;66.92310333;10.64099979
4;71.28209686;10.64099979
4;74.35900116;10.64099979
4;78.20510101;10.64099979
4;67.94869995;8.718000412
4;68.46150208;5.256400108
4;68.20510101;2.948699951
4;37.69229889;25.76919937
4;39.48720169;25.38459969
4;91.28209686;41.53850174
4;50;95.76920319
4;47.94869995;95
4;44.1026001;92.69229889
1;32.33111191;61.41110229
1;53.42146301;26.18688011
1;63.92020416;30.83219337
1;70.289505;82.53364563
1;34.11883163;45.73455048
1;67.67071533;37.11094666
1;53.25912857;97.47576904
1;63.51498032;25.10007858
1;67.98053741;80.95716858
1;67.37246704;29.72039986
1;15.56074905;80.06564331
1;71.79077148;71.06546783
1;70.24254608;24.10959816
1;64.93743896;81.55420685
1;62.21352386;21.47583961
1;67.26940155;18.70896912
1;40.57019806;79.37296295
1;74.74118042;21.10163689
1;71.76831818;20.01106262
1;76.16692352;75.93617249
1;65.62365723;15.58280373
1;50.85063553;13.98760128
1;33.02407074;24.46783066
1;39.70632553;84.27528381
1;45.59648514;9.763348579
1;42.9680481;17.94545746
1;52.49440765;16.05111504
1;46.08227539;23.11045837
1;74.24771118;20.314188
1;64.56826782;83.63963318
1;74.02169037;76.12827301
1;62.39118195;5.623070717
1;74.18903351;68.13358307
1;28.23678207;56.13959503
1;75.77194214;69.82923126
1;75.85523224;62.51704407
1;65.97085571;72.74485779
1;21.77803993;6.616625309
1;67.75979614;72.42120361
1;78.61719513;52.57525635
1;68.50770569;15.45691872
1;74.8850174;25.4166069
1;66.45490265;19.83662796
1;77.31780243;48.39834595
1;58.91246033;75.66775513
1;57.6174469;8.194800377
1;76.08822632;59.67993164
1;57.46604919;1.504418135
1;79.42838287;45.21079254
1;76.35652161;10.4182415
1;64.40507507;78.58417511
1;40.63504028;73.3947525
1;43.94986343;75.95871735
1;30.99621964;71.6944046
1;68.2307663;80.87250519
1;72.04638672;12.9180069
1;46.59276962;84.97238159
1;49.25721741;81.88140106
1;42.78176117;12.99118805
1;65.47595215;14.27458572
1;71.96508026;17.7102356
1;32.14646149;43.48170853
1;31.83849716;71.81216431
1;31.00525856;40.68250275
1;80.47089386;49.50214767
1;71.96416473;41.87428284
1;78.079422;93.13331604
1;41.67759705;30.20126343
1;65.95359802;31.14740562
1;62.93445969;31.91639137
1;64.37379456;28.86258316
1;72.50933075;39.54013062
1;30.05228996;96.61754608
1;28.00332451;46.67219162
1;75.40122986;88.63907623
1;38.9800148;87.32215881
1;65.2199173;84.68295288
1;73.05399323;29.38080788
1;34.39836121;59.54444504
1;43.49045181;40.78254318
1;55.13873672;30.72575951
1;43.68439484;32.82300949
1;35.90361023;91.11186218
1;45.37801743;29.16921616
1;39.77748108;43.75581741
1;38.66446304;33.31723785
1;39.04403687;84.67601013
1;91.63996124;79.40660095
1;47.48813248;85.38993073
1;44.59021378;22.03401184
1;39.08961487;70.46619415
1;42.22937775;19.91406822
1;37.00038528;60.26427841
1;39.05208588;70.65250397
1;37.48841476;60.81440353
1;69.35955811;65.52135468
1;43.5427742;62.46031189
1;39.81122971;65.33483124
1;70.06892395;7.593465805
1;70.0405426;77.14380646
1;39.50579071;74.85162354
1;62.51689148;66.48473358
1;72.1399231;0.015119325
1;45.25157547;70.00341797
1;42.0633049;2.335196495
1;36.35569382;6.005848885
1;30.39182854;42.75961304
1;36.44900513;50.54626846
1;40.46757507;60.0275116
1;81.724617;6.037544727
1;48.82319641;76.6353302
1;35.62056351;57.28601456
1;50.58396149;71.80661774
1;61.85646439;71.79273987
1;39.32375717;59.3008194
1;42.18568039;66.03489685
1;30.84691811;37.34164047
1;29.34620094;42.14874268
1;82.11055756;1.21055162
1;38.30200577;60.01778412
1;56.58415222;70.51251221
1;33.33937454;0.509106755
1;78.77423859;35.48410034
1;27.92264366;25.98687744
1;71.69786835;10.86814404
1;74.13832855;49.17391968
1;32.57902145;1.808115602
1;59.83218384;69.1525116
1;35.0306282;12.5366497
1;74.30011749;42.47709274
1;63.25019836;65.95248413
1;34.17307281;25.69367409
1;40.91383362;38.559021
1;62.83329391;62.51089478
1;42.47679138;56.73128891
1;52.0334549;64.56666565
1;48.90704346;74.28775024
1;59.85183716;72.95838928
1;48.96046066;72.62952423
1;46.84485626;36.79171371
1;39.96302032;42.94491577
1;66.7049408;32.01509476
6;53.3665657;90.2080307
6;52.80197906;90.0880661
6;47.05413055;90.4589386
6;42.44843292;89.50769806
6;42.70403671;90.44262695
6;32.37893677;90.14414215
6;32.5307045;70.15739441
6;33.36526489;70.45933533
6;32.65609741;70.05107117
6;22.95509338;70.42689514
6;27.14984322;70.2108078
6;26.16691017;70.50031281
6;26.33145714;50.49455643
6;22.00370979;50.49943924
6;23.28474808;50.47435379
6;27.63403893;50.50366592
6;32.03710938;50.50006485
6;29.3365097;50.46189499
6;40.81695175;50.48775864
6;42.73907471;50.4831543
6;51.86789322;50.49327469
6;43.3710022;50.50083542
6;53.04279709;50.48750305
6;56.61891174;50.50337219
6;70.56829071;50.49623489
6;67.87088776;70.06802368
6;58.82154846;70.45578003
6;60.1869278;70.48355103
6;59.43551636;50.42063141
6;49.58584213;50.4349823
6;41.77974319;50.47064209
6;46.12768555;30.44941139
6;38.03378296;50.49089813
6;44.54684067;50.41591263
6;46.23811722;30.4956131
6;49.73974609;30.47272491
6;39.11025238;30.47869492
6;39.14283752;30.79285622
6;34.62546921;30.4997406
6;34.75420761;30.49586487
6;36.75370026;50.5293045
6;37.01935196;50.49266815
6;41.41711426;50.46977234
6;22.81710815;30.43604088
6;34.80070114;30.49793053
6;27.89188957;30.48497009
6;32.8706398;30.50234222
6;37.79404831;30.49263763
6;35.66731644;30.5220356
6;48.44229889;30.50172234
6;58.66937256;30.50683784
6;47.91695404;30.48672485
6;51.89416504;30.49475479
6;51.74908829;30.47299385
6;58.24655151;50.44287491
6;57.31069565;50.48251343
6;67.9680481;50.45215988
6;65.94931793;50.49423981
6;55.7470932;50.47897339
6;68.40300751;50.49862671
6;76.69646454;50.49383163
6;67.21483612;70.26002502
6;72.30200195;70.2204361
6;66.76325989;70.47386169
6;51.68030167;89.99702454
6;53.09655762;89.54024506
6;42.24229431;89.70858002
6;56.23387527;89.63530731
6;54.68098831;89.96459961
6;57.90268707;89.61840057
6;51.82026291;89.83412933
6;56.82839584;89.58366394
6;58.27227783;69.90027618
6;51.82812881;70.35264587
6;44.84998322;70.39520264
6;24.27038193;50.485569
6;34.74246979;70.3399353
6;37.79931641;70.46953583
6;49.78694153;89.65805054
6;59.75149918;89.73193359
6;64.77479553;90.13231659
6;70.84444427;89.92420959
6;70.60594177;90.04206085
6;78.64248657;89.55120087
6;70.81069183;89.59265137
6;66.76994324;70.42337799
6;73.33636475;70.31692505
6;73.10514832;70.30051422
6;74.67825317;70.4453125
6;80.24024963;70.35430908
6;70.94684601;50.47270203
6;88.66266632;50.45532608
6;84.40595245;50.49486542
6;75.98710632;50.49196625
6;91.11208344;50.48938751
6;98.28812408;30.60391998
6;95.0652771;30.50040245
6;95.24923706;30.45945358
6;49.65612793;50.43132019
6;63.01860046;30.49258232
6;70.53820038;30.48355865
6;70.08686829;30.5100441
6;62.68569183;30.54642487
6;69.23941803;30.50600433
6;80.40023041;30.48500633
6;74.64788055;30.67386246
6;65.99526978;30.47502327
6;67.08856201;30.494524
6;59.85257721;10.5431881
6;53.74898911;10.52257442
6;58.23909378;10.4948988
6;54.81029892;10.72492886
6;52.97671127;10.85949039
6;52.20389557;10.49563694
6;50.74516296;10.5249052
6;42.71319199;10.48754692
6;45.31722641;10.49587345
6;53.11691666;10.50686073
6;57.04980087;10.50813675
6;54.85462952;10.46391487
6;54.92484283;10.49833202
6;63.30955505;10.48881435
6;49.74950027;10.48580265
6;41.16931152;10.49730015
6;46.68833923;10.50753212
6;52.41892242;10.49590683
6;50.87848663;10.5030899
6;57.05330658;10.51406956
6;70.78645325;10.51369476
6;56.77214813;10.50327206
6;75.47721863;10.51856804
6;76.76591492;10.49699879
6;77.62104797;10.4958744
6;65.41448975;10.68183994
6;69.96478271;10.50723267
6;64.96974182;10.48215961
6;38.05023956;30.40794563
6;42.22412109;30.49803734
6;87.69846344;50.48993683
6;52.36033249;89.70431519
6;51.40678787;89.71213531
6;43.58846664;89.7455368
11;50.48150635;93.22270203
11;50.28240585;97.60998535
11;50.18670273;99.69467926
11;50.32691193;90.02205658
11;50.45620728;89.9874115
11;30.46484756;82.0892334
11;30.50159645;82.30712891
11;30.48956871;77.72988129
11;30.45024872;79.83489227
11;30.51839447;68.25258636
11;30.51166153;66.09371948
11;30.49807739;62.38498688
11;30.62022781;60.86008072
11;30.49218559;55.87891769
11;30.47463417;52.32215881
11;30.50099754;48.06969833
11;30.49442101;45.77347565
11;30.49954414;49.38209915
11;50.14439392;47.01428223
11;49.91289902;55.58783722
11;50.33742905;57.95531464
11;50.41897964;60.52490997
11;50.20525742;57.92421722
11;50.43531418;56.43932343
11;69.50579071;59.28492355
11;69.53407288;64.89297485
11;69.51010895;61.32962418
11;69.52632141;56.9952774
11;49.94723892;48.22957611
11;50.06310272;58.08503723
11;50.4899025;39.20541382
11;49.68886566;42.01851273
11;50.33348083;43.58867264
11;50.44675064;57.23059082
11;50.42090988;43.34795761
11;50.37405396;32.91823959
11;30.47682953;39.42460632
11;30.50347519;38.34855652
11;30.50483513;28.77148819
11;30.46221924;32.75047302
11;30.49130249;43.56137466
11;30.44965363;44.99512482
11;30.48599434;47.34794617
11;30.5020771;36.4412117
11;30.47805977;28.02058029
11;30.50116158;38.31414032
11;30.50477219;26.41662598
11;30.50911522;22.82554626
11;50.1156311;16.69400597
11;50.44830322;21.64025688
11;50.17317581;29.17786407
11;49.92274094;38.44047165
11;50.31129837;26.86048889
11;50.39941025;38.96384048
11;50.3373642;40.9133873
11;50.20231628;47.21294785
11;50.27493286;49.62350082
11;69.49437714;52.6124115
11;69.51934052;47.38453293
11;69.52918243;57.84126663
11;69.49575806;58.78507233
11;69.19905853;60.41895676
11;69.55109406;58.40110016
11;69.50668335;68.08446503
11;50.4441185;75.01329803
11;50.46722794;90.28146362
11;50.21088028;80.94177246
11;50.20540619;90.64053345
11;50.43828964;92.35475922
11;50.3735199;82.21920776
11;50.253685;81.74382782
11;50.25046921;71.9513855
11;50.08705902;73.95187378
11;50.23107147;80.64738464
11;50.20774078;73.11450195
11;30.499506;53.61252594
11;30.52036095;65.10041046
11;30.45495605;63.50177765
11;50.4164772;97.26969147
11;69.52507019;93.59805298
11;69.52025604;97.19387817
11;69.49897003;92.12049103
11;69.52861786;91.62208557
11;69.49976349;84.47968292
11;69.50379944;81.8154068
11;69.48758698;81.83599091
11;69.51911926;71.1159668
11;69.50437927;70.49344635
11;69.51257324;61.49756241
11;89.49420166;62.23432541
11;89.50012207;53.21633148
11;89.49024963;48.89079666
11;89.49778748;46.6299057
11;89.50485229;48.42340851
11;89.50105286;43.34734344
11;89.4888382;40.62509155
11;89.50162506;45.81517792
11;89.49752808;33.901371
11;50.43909073;37.67077255
11;50.17985153;36.80755997
11;69.50507355;33.74015427
11;69.5798645;21.93523598
11;69.50646973;22.72866249
11;69.4994812;16.3374691
11;69.50026703;27.13602448
11;69.50415802;23.66891861
11;69.53227997;21.85090065
11;69.50011444;11.79162598
11;69.50481415;15.61435795
11;69.50347137;17.16909027
11;50.37740326;16.50601578
11;50.33942413;18.72345161
11;50.09365082;11.6077137
11;49.93412781;22.25613976
11;50.28881836;13.4364109
11;50.28799438;12.87228203
11;50.23472214;20.40447235
11;50.27970123;15.60873795
11;50.25300598;11.30208397
11;50.47414017;12.46199703
11;50.1084404;18.25904465
11;49.91905975;3.716853857
11;50.08366394;10.23588181
11;50.35226059;12.46860027
11;50.49757385;7.409625053
11;50.01630402;16.253685
11;50.46821976;13.3567028
11;69.55068207;9.032987595
11;69.51866913;15.18048668
11;69.50345612;16.87831306
11;69.49948883;10.20782661
11;69.52752686;9.992296219
11;69.51909637;11.42268562
11;69.56189728;15.99980354
11;69.50104523;5.955833435
11;69.52463531;2.734760284
11;30.49959373;26.08556175
11;30.48739243;19.77947044
11;89.50018311;31.97891808
11;50.41027069;98.62837219
11;50.32592392;94.99462891
11;50.10403061;95.08853912
13;38.33775711;92.47271729
13;35.7518692;94.11676788
13;32.76721954;88.51829529
13;33.72960663;88.62226868
13;37.23825073;83.72492981
13;36.02719879;82.04077911
13;39.2392807;79.26372528
13;39.78452682;82.26056671
13;35.16603088;84.15649414
13;40.62211609;78.54210663
13;39.18190765;79.81903839
13;42.43088913;75.13363647
13;43.08125687;75.34670258
13;44.36071777;70.47420502
13;44.32477951;71.04590607
13;47.55215836;66.46040344
13;48.66492462;64.96100616
13;46.28063202;68.02841949
13;50.56324387;62.62382889
13;52.63096237;59.96393585
13;54.63620758;57.49384308
13;51.34602737;61.60055161
13;57.13485718;53.87796402
13;54.17124176;58.05980682
13;50.94238281;62.09739304
13;66.51292419;59.07128143
13;64.39791107;56.17487717
13;68.6865921;62.23734283
13;65.02779388;57.09625626
13;53.30450439;40.88384628
13;52.94517899;40.38462448
13;45.22573853;30.55522537
13;50.84330368;37.74462891
13;49.65929413;36.27344131
13;47.14278793;32.02506256
13;41.27005768;21.72181702
13;47.13012695;31.30990219
13;40.91596985;23.54159164
13;38.66016388;21.6895504
13;42.61255264;24.1950531
13;41.20903778;24.12870979
13;50.64921951;37.48379135
13;52.13190079;39.36460114
13;39.79727173;16.0835495
13;43.54988098;24.30721092
13;36.71466446;17.38180923
13;37.22460938;17.98006439
13;40.51244736;22.96221542
13;40.22206116;20.61462212
13;44.12496185;23.36624527
13;42.34626007;24.55832672
13;44.1890831;28.77262497
13;45.81424713;31.05698013
13;46.64311981;31.40721893
13;52.189888;39.36779785
13;51.10031891;38.09569931
13;65.40083313;42.61403275
13;64.85204315;43.13373566
13;63.40380478;44.84749222
13;65.37155151;42.69597244
13;61.90803909;53.19035339
13;71.82665253;65.68623352
13;72.65462494;66.87828064
13;76.88858032;72.16547394
13;43.74462128;71.26795959
13;39.05424881;83.11901855
13;39.93167496;79.9391861
13;39.76282501;76.40596771
13;41.32338333;80.21186829
13;41.787323;83.98807526
13;39.75564957;79.65709686
13;40.74987793;77.20465851
13;43.85689926;77.60984039
13;42.36782074;73.63827515
13;39.46295929;78.4599762
13;44.51733398;70.36934662
13;41.63609314;76.2492218
13;45.42293167;69.09550476
13;42.00285721;97.83761597
13;76.10562897;95.30497742
13;79.20256042;92.40721893
13;84.84824371;95.42480469
13;81.56447601;83.79290771
13;85.44618988;83.07829285
13;80.31249237;76.51623535
13;80.76623535;79.89606476
13;82.67011261;81.71147919
13;77.16362762;73.52371979
13;74.0707016;68.47956085
13;74.11422729;71.92636108
13;68.94207764;62.63515091
13;73.24200439;67.35327148
13;71.86701202;34.32915878
13;71.56919098;34.69921875
13;71.48291016;34.68051529
13;78.12852478;23.13923264
13;78.78982544;25.59719276
13;77.78154755;23.44721413
13;48.5306282;34.15245056
13;65.53078461;42.28108597
13;70.11803436;36.44818497
13;70.47225952;36.08805466
13;76.79113007;28.07200813
13;72.40935516;33.03925705
13;76.27130127;25.56954384
13;76.95326233;27.77061081
13;75.10772705;30.01698303
13;75.96928406;29.03886604
13;75.28388977;24.87475395
13;77.05223846;27.90563965
13;42.82675552;25.55695915
13;42.08066177;24.94652557
13;39.87830353;18.32492828
13;36.4754982;17.71894836
13;37.10307312;15.44561195
13;34.14896774;13.52386951
13;37.579422;15.01589012
13;41.06430435;12.21446896
13;42.19526672;20.91937256
13;36.60557938;15.74887562
13;39.43115997;19.32384109
13;37.56207657;11.92844582
13;34.23810959;13.71315861
13;34.14094162;4.577661514
13;36.65926743;17.68196487
13;40.64371872;20.24086189
13;36.79248047;13.39213467
13;75.94830322;22.74479675
13;76.84069061;20.91854668
13;81.9504776;19.8745575
13;81.64370728;16.59176064
13;84.61022186;14.24776173
13;84.10288239;8.98065567
13;80.18002319;19.0888443
13;80.57327271;8.365638733
13;79.00432587;10.62819767
13;40.04818726;24.26148796
13;34.79459381;13.96968365
13;79.22176361;22.09459114
13;36.03087997;93.12173462
13;34.4995575;86.60998535
13;31.10686684;89.46163177
10;58.21360779;91.88188934
10;58.19605255;92.21498871
10;58.7182312;90.31053162
10;57.27837372;89.90760803
10;58.08201981;92.00814819
10;57.48944855;88.085289
10;28.0887413;63.51079559
10;28.08546829;63.59019852
10;28.08727264;63.12328339
10;27.57802582;62.82103729
10;27.77991867;63.51814651
10;28.5890007;63.02408218
10;28.73914146;62.72086334
10;27.02460289;62.90185928
10;28.80133629;63.3890419
10;27.18646431;63.55873108
10;29.28514671;63.38360596
10;39.40294647;51.15085602
10;28.81132889;61.35785294
10;34.30395889;56.5421257
10;29.60276031;60.15734482
10;49.11615753;63.65999985
10;39.61754608;62.92518616
10;43.23308563;63.16521835
10;64.89279175;65.81417847
10;62.49015045;74.58428955
10;68.98808289;63.23214722
10;62.10561752;75.99086761
10;32.4618454;62.8819046
10;41.32720184;49.07025146
10;44.00714874;46.4496727
10;44.07406235;34.55320358
10;44.00131607;33.90420914
10;45.00630188;38.29901886
10;44.44384003;36.01908493
10;42.17871475;26.49211884
10;44.04456711;35.66223907
10;41.64045334;27.09309578
10;41.9383316;24.99152374
10;44.05392838;33.55639267
10;39.20671844;51.53371429
10;28.7044487;61.77752686
10;31.70866203;58.8377533
10;42.81171036;30.02044868
10;43.3006134;31.52642632
10;40.39863205;16.34700775
10;40.43569183;20.23266983
10;40.93654633;16.91300392
10;39.66157532;15.60935593
10;40.89925766;20.79852867
10;41.96861649;26.49707222
10;40.38340759;21.39122581
10;56.5381279;32.44424438
10;52.97069168;29.04019737
10;54.62095261;30.34452438
10;65.0990448;27.24155807
10;63.05599213;29.709095
10;70.96013641;41.25950241
10;69.89582062;43.45375824
10;70.59589386;41.96474457
10;69.64701843;44.04444504
10;77.39298248;63.37145996
10;64.40078735;67.44871521
10;63.86896133;70.21373749
10;56.59442139;86.92700958
10;56.53133774;87.49980927
10;59.65215683;87.8094635
10;56.63650894;85.63749695
10;58.67228699;90.0771637
10;58.22161102;90.41101837
10;57.91466522;89.95380402
10;55.3155098;80.25186157
10;54.57572937;77.5362854
10;54.41309357;78.22908783
10;55.07450485;79.81754303
10;29.43296051;60.80177689
10;29.42268562;63.06846619
10;29.00561333;63.39075089
10;58.46183777;90.26532745
10;57.99780655;92.15991211
10;57.54947281;90.748909
10;59.52993011;88.32727051
10;58.24938965;92.12968445
10;58.02451324;91.69441986
10;58.38212585;90.55347443
10;62.5667572;77.74393463
10;72.17582703;63.12892914
10;79.47276306;63.40868759
10;80.35770416;63.29543686
10;78.75723267;53.33261871
10;82.54023743;56.54105377
10;86.43589783;59.79276276
10;79.48868561;53.65167236
10;81.5304184;56.02536392
10;79.18679047;53.2347908
10;77.89905548;51.82246017
10;75.13071442;23.37244225
10;76.05801392;16.38374901
10;57.61467361;33.82244873
10;56.17139816;32.11798859
10;66.28788757;26.1171093
10;67.8817215;24.23601913
10;64.0280838;27.67268562
10;77.4966507;14.94852352
10;77.63465118;14.46185398
10;77.86372375;14.61067772
10;77.33815765;15.8900547
10;76.18041992;15.91257381
10;77.2526474;15.15151691
10;77.41337585;15.22192764
10;76.73184967;16.21684647
10;49.47110367;25.0630188
10;42.47653961;18.33847427
10;43.59511566;19.99420166
10;50.33996964;26.4713974
10;40.74898148;16.18214226
10;38.3865242;14.58021545
10;38.40401459;14.45194817
10;38.76427841;14.3655901
10;41.47014236;17.27803421
10;47.15540314;22.37793159
10;39.58256531;17.64845276
10;41.740242;17.82932472
10;39.31187057;15.64071655
10;41.67984772;17.74591827
10;39.08746338;15.12230396
10;41.48150253;18.04743767
10;77.60608673;15.16287231
10;75.98265839;16.30692291
10;76.945755;15.85847855
10;77.54371643;15.25394917
10;77.58473969;15.83003902
10;76.82230377;15.59516525
10;77.34857178;15.77452946
10;77.57315063;14.78064537
10;77.97261047;14.95569897
10;41.52891922;24.9164257
10;43.72254944;19.07732773
10;79.32608032;52.90039063
10;56.66397476;87.94012451
10;57.82178879;90.69316864
10;58.24317169;92.10432434
7;57.61323166;83.90517426
7;51.27439117;82.81798553
7;50.75389862;76.7541275
7;37.02118301;81.95446777
7;42.88175583;80.18476868
7;37.15571213;84.95410919
7;38.7318573;83.78936005
7;31.00052452;82.57948303
7;25.98550034;74.34938812
7;23.71456718;75.09804535
7;23.0773201;71.72054291
7;24.93913651;72.58028412
7;17.89349937;71.10968781
7;23.67308235;64.87084198
7;23.74907112;63.55717087
7;32.21517944;65.60095978
7;29.43684196;67.55452728
7;40.0500946;71.88903046
7;37.57479477;69.98874664
7;49.31046677;67.16876221
7;47.34801865;72.59161377
7;50.15741348;71.16172791
7;58.21000671;68.04454041
7;56.60890579;70.40894318
7;52.83382034;72.55188751
7;61.81858444;76.11282349
7;61.72763443;77.06923676
7;62.19225311;76.1568222
7;58.11876678;73.11896515
7;58.27041245;35.59689331
7;59.76652908;32.62125015
7;52.53553391;27.17412376
7;50.8925209;29.14528465
7;49.96755219;28.46020317
7;51.34788513;27.36425972
7;37.55511475;24.53766441
7;39.19959259;23.68049622
7;36.38272095;25.23800468
7;41.10069275;26.5526123
7;28.21781158;28.28029251
7;33.79707336;28.6997509
7;43.91938782;27.79784393
7;44.41640091;28.94769287
7;28.03760338;26.80382347
7;31.6895752;26.66640091
7;27.27961349;19.25728035
7;31.22187805;26.44085503
7;33.54580688;20.08070755
7;39.73633194;23.49480629
7;42.84184265;20.33390045
7;47.09373093;26.99347115
7;51.45365906;26.02294159
7;49.3677063;22.0055809
7;48.25348282;29.27085495
7;61.00296021;30.0153141
7;60.80656052;27.86831284
7;59.06742859;26.7882843
7;61.4146347;31.03937531
7;68.93437195;31.61989403
7;63.06524277;34.23574829
7;72.27252197;67.64444733
7;75.35987854;75.4216156
7;72.83362579;72.11469269
7;70.81041718;79.35046387
7;45.80193329;81.65826416
7;45.83502197;82.74259186
7;40.07880783;80.24718475
7;51.98292542;82.20438385
7;57.33790588;84.99951935
7;62.33623123;83.24656677
7;58.50590897;81.74558258
7;56.24793625;83.51394653
7;55.40652084;80.26667023
7;53.28396988;84.26359558
7;44.67676163;80.23828888
7;30.0112648;68.14675903
7;29.74525452;74.40452576
7;37.30994797;72.58615875
7;61.13594818;82.53756714
7;61.7206192;85.70569611
7;63.60937881;83.36003113
7;70.72371674;87.15220642
7;75.00639343;82.42583466
7;75.09255219;83.43739319
7;70.32792664;82.02935791
7;70.86332703;79.40817261
7;75.77990723;79.88619995
7;78.09365845;77.75955963
7;76.74575806;71.97335815
7;78.46460724;69.7492981
7;76.74568176;70.04405975
7;85.16168213;65.5124054
7;91.80834961;34.96559525
7;91.88745117;34.76925278
7;92.24840546;32.3771553
7;91.78253174;34.38429642
7;96.08052063;28.05360031
7;92.24790192;28.07075119
7;57.66227722;24.06060791
7;59.84692383;26.17771339
7;64.0670929;27.7765007
7;60.98150253;23.93429756
7;59.96705627;26.80258369
7;62.70745468;21.99550819
7;69.19523621;22.70979309
7;65.59236145;20.69417381
7;64.61709595;22.44314575
7;59.19115829;17.76790237
7;55.83963013;21.61857033
7;59.00075912;21.17100716
7;56.45936966;25.14456367
7;52.35810471;19.41705322
7;51.81166458;17.03349495
7;54.22284698;19.50366592
7;49.01875687;23.48927307
7;35.65357971;17.51450729
7;46.96578598;16.78920174
7;49.58423996;16.7579155
7;51.85630035;21.96908379
7;55.95288849;16.78975677
7;51.66378784;19.92512512
7;45.85966873;17.12890434
7;39.74037933;18.74105072
7;52.81122208;17.8549881
7;56.78910446;17.3061161
7;54.11453247;17.67353439
7;55.57112122;17.3695755
7;65.30646515;18.19735527
7;66.99074554;17.22286987
7;72.15671539;16.81427574
7;70.98058319;17.15575218
7;72.22208405;19.36928177
7;79.70015717;20.74021912
7;64.24916077;14.91396236
7;66.94329071;20.18913269
7;66.94167328;18.24350929
7;39.64826584;22.73136711
7;37.94978333;26.5217495
7;86.5043869;34.8940239
7;50.81548691;78.95083618
7;51.18346786;85.12885284
7;40.86385345;82.92614746
5;51.14791489;90.86740875
5;50.51712418;89.1023941
5;50.20748138;85.46004486
5;50.0694809;83.05767059
5;50.56284714;82.93782043
5;50.28852844;82.97525024
5;25.58347511;82.9148941
5;25.48358345;82.92908478
5;25.44352531;82.87419891
5;25.56511307;82.92409515
5;25.92884445;82.82118225
5;27.55147743;51.4873848
5;27.53046608;51.41484833
5;27.09556961;52.0768013
5;27.43924904;51.71207809
5;27.87826347;50.70890808
